time_tag,satellite,flux,energy
2024-08-13T21:25:00Z,16,4.0,>=2 MeV
2024-08-13T21:30:00Z,16,4.0,>=2 MeV
2024-08-13T21:35:00Z,16,9.910492897,>=2 MeV
2024-08-13T21:40:00Z,16,7.723394871,>=2 MeV
2024-08-13T21:45:00Z,16,4.0,>=2 MeV
2024-08-13T21:50:00Z,16,4.0,>=2 MeV
2024-08-13T21:55:00Z,16,4.0,>=2 MeV
2024-08-13T22:00:00Z,16,24.23779678,>=2 MeV
2024-08-13T22:05:00Z,16,13.42294598,>=2 MeV
2024-08-13T22:10:00Z,16,45.40437317,>=2 MeV
2024-08-13T22:15:00Z,16,4.778684139,>=2 MeV
2024-08-13T22:20:00Z,16,4.0,>=2 MeV
2024-08-13T22:25:00Z,16,15.86085415,>=2 MeV
2024-08-13T22:30:00Z,16,4.0,>=2 MeV
2024-08-13T22:35:00Z,16,4.0,>=2 MeV
2024-08-13T22:40:00Z,16,4.0,>=2 MeV
2024-08-13T22:45:00Z,16,71.95122528,>=2 MeV
2024-08-13T22:50:00Z,16,107.8758469,>=2 MeV
2024-08-13T22:55:00Z,16,5.267245293,>=2 MeV
2024-08-13T23:00:00Z,16,35.49545288,>=2 MeV
2024-08-13T23:05:00Z,16,66.93392181,>=2 MeV
2024-08-13T23:10:00Z,16,4.0,>=2 MeV
2024-08-13T23:15:00Z,16,4.0,>=2 MeV
2024-08-13T23:20:00Z,16,4.0,>=2 MeV
2024-08-13T23:25:00Z,16,4.0,>=2 MeV
2024-08-13T23:30:00Z,16,83.96007538,>=2 MeV
2024-08-13T23:35:00Z,16,4.0,>=2 MeV
2024-08-13T23:40:00Z,16,74.8813858,>=2 MeV
2024-08-13T23:45:00Z,16,4.0,>=2 MeV
2024-08-13T23:50:00Z,16,7.261093616,>=2 MeV
2024-08-13T23:55:00Z,16,41.2225647,>=2 MeV
2024-08-14T00:00:00Z,16,4.0,>=2 MeV
2024-08-14T00:05:00Z,16,4.0,>=2 MeV
2024-08-14T00:10:00Z,16,4.0,>=2 MeV
2024-08-14T00:15:00Z,16,4.0,>=2 MeV
2024-08-14T00:20:00Z,16,4.270689964,>=2 MeV
